chrom	start	end	gene	strand	left_gene	left_gene_relationship	left_gene_dist	right_gene	right_gene_relationship	right_gene_dist
chr1	80711	81953	YAL034C	-	YAL034W-A	converging	122	YAL033W	diverging	754
chr1	82707	83229	YAL033W	+	YAL034C	diverging	754	YAL032C	converging	107
chr1	83336	84476	YAL032C	-	YAL033W	converging	107	YAL031C	sequential	274
chr1	84750	87033	YAL031C	-	YAL032C	sequential	274	YAL030W	diverging	254
chr1	87287	87754	YAL030W	+	YAL031C	diverging	254	YAL029C	converging	102
chr1	87856	92272	YAL029C	-	YAL030W	converging	102	YAL028W	diverging	629
chr1	92901	94488	YAL028W	+	YAL029C	diverging	629	YAL027W	sequential	200
chr1	94688	95474	YAL027W	+	YAL028W	sequential	200	YAL026C	converging	157
chr1	95631	99699	YAL026C	-	YAL027W	converging	157	YAL025C	sequential	527
chr1	100226	101147	YAL025C	-	YAL026C	sequential	527	YAL024C	sequential	419
chr1	101566	105874	YAL024C	-	YAL025C	sequential	419	YAL023C	sequential	399
chr1	106273	108553	YAL023C	-	YAL024C	sequential	399	YAL022C	sequential	325
chr1	108878	110432	YAL022C	-	YAL023C	sequential	325	YAL021C	sequential	415
chr1	110847	113361	YAL021C	-	YAL022C	sequential	415	YAL020C	sequential	254
chr1	113615	114617	YAL020C	-	YAL021C	sequential	254	YAL019W	diverging	303
chr1	114920	118316	YAL019W	+	YAL020C	diverging	303	YAL018C	converging	249
chr1	118565	119543	YAL018C	-	YAL019W	converging	249	YAL017W	diverging	683
chr1	120226	124297	YAL017W	+	YAL018C	diverging	683	YAL016C-B	converging	11
chr1	124308	124494	YAL016C-B	-	YAL017W	converging	11	YAL016W	diverging	386
chr1	124880	126788	YAL016W	+	YAL016C-B	diverging	386	YAL015C	converging	116
chr1	126904	128104	YAL015C	-	YAL016W	converging	116	YAL014C	sequential	149
chr1	128253	129021	YAL014C	-	YAL015C	sequential	149	YAL013W	diverging	250
chr1	129271	130360	YAL013W	+	YAL014C	diverging	250	YAL012W	sequential	441
chr1	130801	131986	YAL012W	+	YAL013W	sequential	441	YAL011W	sequential	215
chr1	132201	134079	YAL011W	+	YAL012W	sequential	215	YAL010C	converging	106
chr1	134185	135667	YAL010C	-	YAL011W	converging	106	YAL009W	diverging	188
chr1	135855	136635	YAL009W	+	YAL010C	diverging	188	YAL008W	sequential	280
chr1	136915	137512	YAL008W	+	YAL009W	sequential	280	YAL007C	converging	187
chr1	137699	138347	YAL007C	-	YAL008W	converging	187	YAL005C	sequential	1157
chr1	139504	141433	YAL005C	-	YAL007C	sequential	1157	YAL003W	diverging	742
chr1	142175	143162	YAL003W	+	YAL005C	diverging	742	YAL002W	sequential	839
chr1	144001	147532	YAL002W	+	YAL003W	sequential	839	YAL001C	converging	62
chr1	147594	151167	YAL001C	-	YAL002W	converging	62	YAR002W	diverging	1090
chr1	152257	153877	YAR002W	+	YAL001C	diverging	1090	YAR002C-A	converging	188
chr1	154065	154725	YAR002C-A	-	YAR002W	converging	188	YAR003W	diverging	280
chr1	155005	156286	YAR003W	+	YAR002C-A	diverging	280	YAR007C	converging	468
chr1	156754	158620	YAR007C	-	YAR003W	converging	468	YAR008W	diverging	345
chr1	158965	159793	YAR008W	+	YAR007C	diverging	345	YAR014C	converging	6964
chr1	166757	168866	YAR014C	-	YAR008W	converging	6964	YAR015W	diverging	503
chr1	169369	170290	YAR015W	+	YAR014C	diverging	503	YAR018C	converging	100
chr1	170390	171698	YAR018C	-	YAR015W	converging	100	YAR019C	sequential	510
chr1	172208	175133	YAR019C	-	YAR018C	sequential	510	YAR020C	sequential	1720
chr1	176853	177021	YAR020C	-	YAR019C	sequential	1720	YAR023C	sequential	2257
chr1	179278	179818	YAR023C	-	YAR020C	sequential	2257	YAR027W	diverging	3945
chr1	183763	184471	YAR027W	+	YAR023C	diverging	3945	YAR028W	sequential	414
chr1	184885	185590	YAR028W	+	YAR027W	sequential	414	YAR029W	sequential	724
chr1	186314	186539	YAR029W	+	YAR028W	sequential	724	YAR031W	sequential	290
chr1	186829	187726	YAR031W	+	YAR029W	sequential	290	YAR033W	sequential	374
chr1	188100	188805	YAR033W	+	YAR031W	sequential	374	YAR035W	sequential	1381
chr1	190186	192250	YAR035W	+	YAR033W	sequential	1381	YAR035C-A	converging	80
chr1	192330	192411	YAR035C-A	-	YAR035W	converging	80	YAR042W	diverging	201
chr1	192612	196179	YAR042W	+	YAR035C-A	diverging	201	YAR050W	sequential	7214
chr1	203393	208007	YAR050W	+	YAR042W	sequential	7214	YAR064W	sequential	12181
chr1	220188	220488	YAR064W	+	YAR050W	sequential	12181	YAR066W	sequential	551
chr1	221039	221651	YAR066W	+	YAR064W	sequential	551	YAR068W	sequential	745
chr1	222396	222882	YAR068W	+	YAR066W	sequential	745	YAR071W	sequential	2568
chr1	225450	226854	YAR071W	+	YAR068W	sequential	2568	YAR073W	sequential	878
chr1	227732	228944	YAR073W	+	YAR071W	sequential	878	YAR075W	overlapping	-110
chr1	228834	229308	YAR075W	+	YAR073W	overlapping	-110		last	-1
chr10	465	6130	YJL225C	-		first	465	YJL223C	sequential	2645
chr10	8775	9138	YJL223C	-	YJL225C	sequential	2645	YJL222W	diverging	2336
chr10	11474	16124	YJL222W	+	YJL223C	diverging	2336	YJL221C	converging	642
chr10	16766	18536	YJL221C	-	YJL222W	converging	642	YJL219W	diverging	960
chr10	19496	21200	YJL219W	+	YJL221C	diverging	960	YJL218W	sequential	772
chr10	21972	22563	YJL218W	+	YJL219W	sequential	772	YJL217W	sequential	569
chr10	23132	23729	YJL217W	+	YJL218W	sequential	569	YJL216C	converging	611
chr10	24340	26086	YJL216C	-	YJL217W	converging	611	YJL214W	diverging	800
chr10	26886	28596	YJL214W	+	YJL216C	diverging	800	YJL213W	sequential	3566
chr10	32162	33158	YJL213W	+	YJL214W	sequential	3566	YJL212C	converging	691
chr10	33849	36249	YJL212C	-	YJL213W	converging	691	YJL210W	diverging	669
chr10	36918	37734	YJL210W	+	YJL212C	diverging	669	YJL209W	sequential	270
chr10	38004	39969	YJL209W	+	YJL210W	sequential	270	YJL208C	converging	224
chr10	40193	41183	YJL208C	-	YJL209W	converging	224	YJL207C	sequential	205
chr10	41388	47433	YJL207C	-	YJL208C	sequential	205	YJL206C	sequential	225
chr10	47658	49935	YJL206C	-	YJL207C	sequential	225	YJL205C	sequential	203
chr10	50138	50443	YJL205C	-	YJL206C	sequential	203	YJL204C	sequential	185
chr10	50628	53151	YJL204C	-	YJL205C	sequential	185	YJL203W	diverging	189
chr10	53340	54183	YJL203W	+	YJL204C	diverging	189	YJL201W	sequential	195
chr10	54378	56178	YJL201W	+	YJL203W	sequential	195	YJL200C	converging	265
chr10	56443	58813	YJL200C	-	YJL201W	converging	265	YJL198W	diverging	2029
chr10	60842	63488	YJL198W	+	YJL200C	diverging	2029	YJL197W	sequential	315
chr10	63803	67568	YJL197W	+	YJL198W	sequential	315	YJL196C	converging	280
chr10	67848	68781	YJL196C	-	YJL197W	converging	280	YJL194W	diverging	555
chr10	69336	70878	YJL194W	+	YJL196C	diverging	555	YJL193W	sequential	486
chr10	71364	72573	YJL193W	+	YJL194W	sequential	486	YJL192C	converging	135
chr10	72708	73413	YJL192C	-	YJL193W	converging	135	YJL191W	diverging	372
chr10	73785	74610	YJL191W	+	YJL192C	diverging	372	YJL190C	converging	298
chr10	74908	75301	YJL190C	-	YJL191W	converging	298	YJL189W	diverging	630
chr10	75931	76473	YJL189W	+	YJL190C	diverging	630	YJL187C	converging	328
chr10	76801	79261	YJL187C	-	YJL189W	converging	328	YJL186W	diverging	891
chr10	80152	81913	YJL186W	+	YJL187C	diverging	891	YJL185C	converging	179
chr10	82092	82974	YJL185C	-	YJL186W	converging	179	YJL184W	diverging	471
chr10	83445	83817	YJL184W	+	YJL185C	diverging	471	YJL183W	sequential	248
chr10	84065	85334	YJL183W	+	YJL184W	sequential	248	YJL181W	sequential	323
chr10	85657	87493	YJL181W	+	YJL183W	sequential	323	YJL180C	converging	87
chr10	87580	88558	YJL180C	-	YJL181W	converging	87	YJL179W	diverging	226
chr10	88784	89114	YJL179W	+	YJL180C	diverging	226	YJL178C	converging	165
chr10	89279	89870	YJL178C	-	YJL179W	converging	165	YJL177W	diverging	912
chr10	90782	91654	YJL177W	+	YJL178C	diverging	912	YJL176C	converging	395
chr10	92049	94527	YJL176C	-	YJL177W	converging	395	YJL174W	diverging	561
chr10	95088	95919	YJL174W	+	YJL176C	diverging	561	YJL173C	converging	238
chr10	96157	96526	YJL173C	-	YJL174W	converging	238	YJL172W	diverging	1203
chr10	97729	99460	YJL172W	+	YJL173C	diverging	1203	YJL171C	converging	236
chr10	99696	100887	YJL171C	-	YJL172W	converging	236	YJL170C	sequential	255
chr10	101142	101694	YJL170C	-	YJL171C	sequential	255	YJL168C	sequential	524
chr10	102218	104420	YJL168C	-	YJL170C	sequential	524	YJL167W	diverging	585
chr10	105005	106064	YJL167W	+	YJL168C	diverging	585	YJL166W	sequential	361
chr10	106425	106710	YJL166W	+	YJL167W	sequential	361	YJL165C	converging	175
chr10	106885	109453	YJL165C	-	YJL166W	converging	175	YJL164C	sequential	504
chr10	109957	111151	YJL164C	-	YJL165C	sequential	504	YJL163C	sequential	508
chr10	111659	113327	YJL163C	-	YJL164C	sequential	508	YJL162C	sequential	847
chr10	114174	115623	YJL162C	-	YJL163C	sequential	847	YJL161W	diverging	1615
chr10	117238	117781	YJL161W	+	YJL162C	diverging	1615	YJL160C	converging	496
chr10	118277	118820	YJL160C	-	YJL161W	converging	496	YJL159W	diverging	1623
chr10	120443	121376	YJL159W	+	YJL160C	diverging	1623	YJL158C	converging	585
chr10	121961	122645	YJL158C	-	YJL159W	converging	585	YJL157C	sequential	887
chr10	123532	126025	YJL157C	-	YJL158C	sequential	887	YJL156C	sequential	561
chr10	126586	128650	YJL156C	-	YJL157C	sequential	561	YJL155C	sequential	332
chr10	128982	130341	YJL155C	-	YJL156C	sequential	332	YJL154C	sequential	457
chr10	130798	133633	YJL154C	-	YJL155C	sequential	457	YJL153C	sequential	396
chr10	134029	135631	YJL153C	-	YJL154C	sequential	396	YJL151C	sequential	438
chr10	136069	136471	YJL151C	-	YJL153C	sequential	438	YJL149W	diverging	605
chr10	137076	139068	YJL149W	+	YJL151C	diverging	605	YJL148W	sequential	1066
chr10	140134	140836	YJL148W	+	YJL149W	sequential	1066	YJL147C	converging	280
chr10	141116	142265	YJL147C	-	YJL148W	converging	280	YJL146W	diverging	724
chr10	142989	144399	YJL146W	+	YJL147C	diverging	724	YJL145W	sequential	458
chr10	144857	145742	YJL145W	+	YJL146W	sequential	458	YJL144W	sequential	314
chr10	146056	146371	YJL144W	+	YJL145W	sequential	314	YJL143W	sequential	427
chr10	146798	147275	YJL143W	+	YJL144W	sequential	427	YJL141C	converging	389
chr10	147664	150088	YJL141C	-	YJL143W	converging	389	YJL140W	diverging	570
chr10	150658	151324	YJL140W	+	YJL141C	diverging	570	YJL139C	converging	86
chr10	151410	152697	YJL139C	-	YJL140W	converging	86	YJL138C	sequential	504
chr10	153201	154389	YJL138C	-	YJL139C	sequential	504	YJL137C	sequential	293
chr10	154682	155825	YJL137C	-	YJL138C	sequential	293	YJL136W-A	diverging	41
chr10	155866	155950	YJL136W-A	+	YJL137C	diverging	41	YJL136C	converging	297
chr10	156247	156971	YJL136C	-	YJL136W-A	converging	297	YJL134W	diverging	914
chr10	157885	159115	YJL134W	+	YJL136C	diverging	914	YJL133C-A	converging	205
chr10	159320	159545	YJL133C-A	-	YJL134W	converging	205	YJL133W	diverging	771
chr10	160316	161261	YJL133W	+	YJL133C-A	diverging	771	YJL132W	sequential	350
chr10	161611	163864	YJL132W	+	YJL133W	sequential	350	YJL131C	converging	111
chr10	163975	165046	YJL131C	-	YJL132W	converging	111	YJL130C	sequential	374
chr10	165420	172065	YJL130C	-	YJL131C	sequential	374	YJL129C	sequential	1231
chr10	173296	177004	YJL129C	-	YJL130C	sequential	1231	YJL128C	sequential	790
chr10	177794	179801	YJL128C	-	YJL129C	sequential	790	YJL127C-B	sequential	1448
chr10	181249	181408	YJL127C-B	-	YJL128C	sequential	1448	YJL127C	sequential	588
chr10	181996	183919	YJL127C	-	YJL127C-B	sequential	588	YJL126W	diverging	280
chr10	184199	185123	YJL126W	+	YJL127C	diverging	280	YJL125C	converging	103
chr10	185226	186378	YJL125C	-	YJL126W	converging	103	YJL124C	sequential	447
chr10	186825	187344	YJL124C	-	YJL125C	sequential	447	YJL123C	sequential	359
chr10	187703	189140	YJL123C	-	YJL124C	sequential	359	YJL122W	diverging	275
chr10	189415	189943	YJL122W	+	YJL123C	diverging	275	YJL121C	converging	130
chr10	190073	190790	YJL121C	-	YJL122W	converging	130	YJL118W	diverging	548
chr10	191338	191998	YJL118W	+	YJL121C	diverging	548	YJL117W	sequential	232
chr10	192230	193166	YJL117W	+	YJL118W	sequential	232	YJL116C	converging	393
chr10	193559	194573	YJL116C	-	YJL117W	converging	393	YJL115W	diverging	1412
chr10	195985	196825	YJL115W	+	YJL116C	diverging	1412	YJL112W	sequential	8176
chr10	205001	207146	YJL112W	+	YJL115W	sequential	8176	YJL111W	sequential	427
chr10	207573	209226	YJL111W	+	YJL112W	sequential	427	YJL110C	converging	392
chr10	209618	211274	YJL110C	-	YJL111W	converging	392	YJL109C	sequential	422
chr10	211696	217006	YJL109C	-	YJL110C	sequential	422	YJL108C	sequential	395
chr10	217401	218553	YJL108C	-	YJL109C	sequential	395	YJL107C	overlapping	-4
chr10	218549	219713	YJL107C	-	YJL108C	overlapping	-4	YJL106W	diverging	1373
chr10	221086	223024	YJL106W	+	YJL107C	diverging	1373	YJL105W	sequential	1727
chr10	224751	226434	YJL105W	+	YJL106W	sequential	1727	YJL104W	sequential	589
chr10	227023	227473	YJL104W	+	YJL105W	sequential	589	YJL103C	converging	1248
chr10	228721	230578	YJL103C	-	YJL104W	converging	1248	YJL102W	diverging	419
chr10	230997	233457	YJL102W	+	YJL103C	diverging	419	YJL101C	converging	559
chr10	234016	236053	YJL101C	-	YJL102W	converging	559	YJL100W	diverging	906
chr10	236959	238783	YJL100W	+	YJL101C	diverging	906	YJL099W	sequential	327
chr10	239110	241351	YJL099W	+	YJL100W	sequential	327	YJL098W	sequential	427
chr10	241778	244955	YJL098W	+	YJL099W	sequential	427	YJL097W	sequential	332
chr10	245287	245941	YJL097W	+	YJL098W	sequential	332	YJL096W	sequential	245
chr10	246186	246672	YJL096W	+	YJL097W	sequential	245	YJL095W	sequential	278
chr10	246950	251387	YJL095W	+	YJL096W	sequential	278	YJL094C	converging	129
chr10	251516	254138	YJL094C	-	YJL095W	converging	129	YJL093C	sequential	294
chr10	254432	256508	YJL093C	-	YJL094C	sequential	294	YJL092W	diverging	610
chr10	257118	260643	YJL092W	+	YJL093C	diverging	610	YJL091C	converging	132
chr10	260775	262248	YJL091C	-	YJL092W	converging	132	YJL090C	sequential	204
chr10	262452	264747	YJL090C	-	YJL091C	sequential	204	YJL089W	diverging	874
chr10	265621	268111	YJL089W	+	YJL090C	diverging	874	YJL088W	sequential	383
chr10	268494	269511	YJL088W	+	YJL089W	sequential	383	YJL087C	converging	186
chr10	269697	272181	YJL087C	-	YJL088W	converging	186	YJL085W	diverging	341
chr10	272522	274394	YJL085W	+	YJL087C	diverging	341	YJL084C	converging	163
chr10	274557	277698	YJL084C	-	YJL085W	converging	163	YJL083W	diverging	838
chr10	278536	280351	YJL083W	+	YJL084C	diverging	838	YJL082W	sequential	529
chr10	280880	283076	YJL082W	+	YJL083W	sequential	529	YJL081C	converging	421
chr10	283497	284967	YJL081C	-	YJL082W	converging	421	YJL080C	sequential	286
chr10	285253	288922	YJL080C	-	YJL081C	sequential	286	YJL079C	sequential	648
chr10	289570	290470	YJL079C	-	YJL080C	sequential	648	YJL078C	sequential	561
chr10	291031	293677	YJL078C	-	YJL079C	sequential	561	YJL077W-B	diverging	65
chr10	293742	293841	YJL077W-B	+	YJL078C	diverging	65	YJL077C	converging	520
chr10	294361	294757	YJL077C	-	YJL077W-B	converging	520	YJL076W	diverging	183
chr10	294940	298510	YJL076W	+	YJL077C	diverging	183	YJL074C	converging	342
chr10	298852	302545	YJL074C	-	YJL076W	converging	342	YJL073W	diverging	331
chr10	302876	304814	YJL073W	+	YJL074C	diverging	331	YJL072C	converging	102
chr10	304916	305558	YJL072C	-	YJL073W	converging	102	YJL071W	diverging	269
chr10	305827	307552	YJL071W	+	YJL072C	diverging	269	YJL070C	converging	114
chr10	307666	310333	YJL070C	-	YJL071W	converging	114	YJL069C	sequential	284
chr10	310617	312402	YJL069C	-	YJL070C	sequential	284	YJL068C	sequential	309
chr10	312711	313611	YJL068C	-	YJL069C	sequential	309	YJL066C	sequential	198
chr10	313809	314568	YJL066C	-	YJL068C	sequential	198	YJL065C	sequential	181
chr10	314749	315253	YJL065C	-	YJL066C	sequential	181	YJL063C	sequential	201
chr10	315454	316171	YJL063C	-	YJL065C	sequential	201	YJL062W-A	diverging	247
chr10	316418	316676	YJL062W-A	+	YJL063C	diverging	247	YJL062W	sequential	303
chr10	316979	319472	YJL062W	+	YJL062W-A	sequential	303	YJL061W	sequential	239
chr10	319711	321853	YJL061W	+	YJL062W	sequential	239	YJL060W	sequential	1228
chr10	323081	324416	YJL060W	+	YJL061W	sequential	1228	YJL059W	sequential	243
chr10	324659	325886	YJL059W	+	YJL060W	sequential	243	YJL058C	converging	51
chr10	325937	327569	YJL058C	-	YJL059W	converging	51	YJL057C	sequential	244
chr10	327813	329817	YJL057C	-	YJL058C	sequential	244	YJL056C	sequential	309
chr10	330126	332769	YJL056C	-	YJL057C	sequential	309	YJL055W	diverging	283
chr10	333052	333790	YJL055W	+	YJL056C	diverging	283	YJL054W	sequential	170
chr10	333960	335397	YJL054W	+	YJL055W	sequential	170	YJL053W	sequential	196
chr10	335593	336733	YJL053W	+	YJL054W	sequential	196	YJL052C-A	converging	846
chr10	337579	337699	YJL052C-A	-	YJL053W	converging	846	YJL052W	diverging	267
chr10	337966	338965	YJL052W	+	YJL052C-A	diverging	267	YJL051W	sequential	517
chr10	339482	341951	YJL051W	+	YJL052W	sequential	517	YJL050W	sequential	266
chr10	342217	345439	YJL050W	+	YJL051W	sequential	266	YJL049W	sequential	229
chr10	345668	347021	YJL049W	+	YJL050W	sequential	229	YJL048C	converging	121
chr10	347142	348333	YJL048C	-	YJL049W	converging	121	YJL047C-A	sequential	406
chr10	348739	348874	YJL047C-A	-	YJL048C	sequential	406	YJL047C	sequential	401
chr10	349275	351804	YJL047C	-	YJL047C-A	sequential	401	YJL046W	diverging	151
chr10	351955	353311	YJL046W	+	YJL047C	diverging	151	YJL045W	sequential	2408
chr10	355719	357624	YJL045W	+	YJL046W	sequential	2408	YJL044C	converging	371
chr10	357995	359372	YJL044C	-	YJL045W	converging	371	YJL043W	diverging	453
chr10	359825	360599	YJL043W	+	YJL044C	diverging	453	YJL042W	sequential	345
chr10	360944	365141	YJL042W	+	YJL043W	sequential	345	YJL041W	sequential	338
chr10	365479	368069	YJL041W	+	YJL042W	sequential	338	YJL039C	converging	374
chr10	368443	373495	YJL039C	-	YJL041W	converging	374	YJL038C	sequential	1315
chr10	374810	375470	YJL038C	-	YJL039C	sequential	1315	YJL037W	diverging	887
chr10	376357	377032	YJL037W	+	YJL038C	diverging	887	YJL036W	sequential	1488
chr10	378520	379792	YJL036W	+	YJL037W	sequential	1488	YJL035C	converging	152
chr10	379944	380697	YJL035C	-	YJL036W	converging	152	YJL034W	diverging	325
chr10	381022	383071	YJL034W	+	YJL035C	diverging	325	YJL033W	sequential	461
chr10	383532	385845	YJL033W	+	YJL034W	sequential	461	YJL031C	converging	218
chr10	386063	386936	YJL031C	-	YJL033W	converging	218	YJL030W	diverging	416
chr10	387352	387943	YJL030W	+	YJL031C	diverging	416	YJL029C	converging	137
chr10	388080	390549	YJL029C	-	YJL030W	converging	137	YJL027C	sequential	979
chr10	391528	391945	YJL027C	-	YJL029C	sequential	979	YJL026W	diverging	154
chr10	392099	393299	YJL026W	+	YJL027C	diverging	154	YJL025W	sequential	363
chr10	393662	395207	YJL025W	+	YJL026W	sequential	363	YJL024C	converging	419
chr10	395626	396288	YJL024C	-	YJL025W	converging	419	YJL023C	sequential	762
chr10	397050	398094	YJL023C	-	YJL024C	sequential	762	YJL020C	sequential	538
chr10	398632	402106	YJL020C	-	YJL023C	sequential	538	YJL019W	diverging	486
chr10	402592	404641	YJL019W	+	YJL020C	diverging	486	YJL016W	sequential	642
chr10	405283	406969	YJL016W	+	YJL019W	sequential	642	YJL014W	sequential	283
chr10	407252	408857	YJL014W	+	YJL016W	sequential	283	YJL013C	converging	330
chr10	409187	410735	YJL013C	-	YJL014W	converging	330	YJL012C-A	sequential	193
chr10	410928	411126	YJL012C-A	-	YJL013C	sequential	193	YJL012C	sequential	20
chr10	411146	413093	YJL012C	-	YJL012C-A	sequential	20	YJL011C	sequential	885
chr10	413978	414464	YJL011C	-	YJL012C	sequential	885	YJL010C	sequential	2791
chr10	417255	419256	YJL010C	-	YJL011C	sequential	2791	YJL008C	sequential	394
chr10	419650	421357	YJL008C	-	YJL010C	sequential	394	YJL006C	sequential	1474
chr10	422831	423803	YJL006C	-	YJL008C	sequential	1474	YJL005W	diverging	1047
chr10	424850	430931	YJL005W	+	YJL006C	diverging	1047	YJL004C	converging	351
chr10	431282	431894	YJL004C	-	YJL005W	converging	351	YJL003W	diverging	443
chr10	432337	432694	YJL003W	+	YJL004C	diverging	443	YJL002C	converging	220
chr10	432914	434345	YJL002C	-	YJL003W	converging	220	YJL001W	diverging	511
chr10	434856	435620	YJL001W	+	YJL002C	diverging	511	YJR001W	sequential	875
chr10	436495	438304	YJR001W	+	YJL001W	sequential	875	YJR002W	sequential	253
chr10	438557	440339	YJR002W	+	YJR001W	sequential	253	YJR003C	converging	347
chr10	440686	442306	YJR003C	-	YJR002W	converging	347	YJR004C	sequential	295
chr10	442601	444554	YJR004C	-	YJR003C	sequential	295	YJR005W	diverging	1061
chr10	445615	447718	YJR005W	+	YJR004C	diverging	1061	YJR005C-A	converging	451
chr10	448169	448451	YJR005C-A	-	YJR005W	converging	451	YJR006W	diverging	443
chr10	448894	450358	YJR006W	+	YJR005C-A	diverging	443	YJR007W	sequential	354
chr10	450712	451627	YJR007W	+	YJR006W	sequential	354	YJR008W	sequential	495
chr10	452122	453139	YJR008W	+	YJR007W	sequential	495	YJR009C	converging	236
chr10	453375	454374	YJR009C	-	YJR008W	converging	236	YJR010W	diverging	1557
chr10	455931	457467	YJR010W	+	YJR009C	diverging	1557	YJR010C-A	converging	302
chr10	457769	458054	YJR010C-A	-	YJR010W	converging	302	YJR011C	sequential	279
chr10	458333	459119	YJR011C	-	YJR010C-A	sequential	279	YJR013W	diverging	1250
chr10	460369	461287	YJR013W	+	YJR011C	diverging	1250	YJR014W	sequential	235
chr10	461522	462119	YJR014W	+	YJR013W	sequential	235	YJR015W	sequential	295
chr10	462414	463947	YJR015W	+	YJR014W	sequential	295	YJR016C	converging	197
chr10	464144	465902	YJR016C	-	YJR015W	converging	197	YJR017C	sequential	312
chr10	466214	466727	YJR017C	-	YJR016C	sequential	312	YJR019C	sequential	198
chr10	466925	467975	YJR019C	-	YJR017C	sequential	198	YJR021C	sequential	273
chr10	468248	469273	YJR021C	-	YJR019C	sequential	273	YJR022W	diverging	204
chr10	469477	469807	YJR022W	+	YJR021C	diverging	204	YJR024C	converging	116
chr10	469923	470658	YJR024C	-	YJR022W	converging	116	YJR025C	sequential	173
chr10	470831	471365	YJR025C	-	YJR024C	sequential	173	YJR030C	sequential	12287
chr10	483652	485890	YJR030C	-	YJR025C	sequential	12287	YJR031C	sequential	389
chr10	486279	490506	YJR031C	-	YJR030C	sequential	389	YJR032W	diverging	268
chr10	490774	491956	YJR032W	+	YJR031C	diverging	268	YJR033C	converging	115
chr10	492071	496145	YJR033C	-	YJR032W	converging	115	YJR034W	diverging	231
chr10	496376	496703	YJR034W	+	YJR033C	diverging	231	YJR035W	sequential	345
chr10	497048	500306	YJR035W	+	YJR034W	sequential	345	YJR036C	converging	100
chr10	500406	503085	YJR036C	-	YJR035W	converging	100	YJR039W	diverging	544
chr10	503629	506995	YJR039W	+	YJR036C	diverging	544	YJR040W	sequential	444
chr10	507439	509779	YJR040W	+	YJR039W	sequential	444	YJR041C	converging	153
chr10	509932	513457	YJR041C	-	YJR040W	converging	153	YJR042W	diverging	291
chr10	513748	515983	YJR042W	+	YJR041C	diverging	291	YJR043C	converging	171
chr10	516154	517207	YJR043C	-	YJR042W	converging	171	YJR044C	sequential	1249
chr10	518456	518879	YJR044C	-	YJR043C	sequential	1249	YJR045C	sequential	452
