space	start	end	width	names	peak	strand	feature	start_position	end_position	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	57434257	57434637	381	MACS_peak_143 ENSMUSG00000038323	MACS_peak_143	+	ENSMUSG00000038323	57434526	57440462	overlapStart	-269	111	NearestStart
1	57463330	57463659	330	MACS_peak_144 ENSMUSG00000025971	MACS_peak_144	+	ENSMUSG00000025971	57463606	57472746	overlapStart	-276	53	NearestStart
1	57831447	57831760	314	MACS_peak_145 ENSMUSG00000038305	MACS_peak_145	+	ENSMUSG00000038305	57831772	58005238	upstream	-325	12	NearestStart
1	58052747	58053045	299	MACS_peak_147 ENSMUSG00000026039	MACS_peak_147	+	ENSMUSG00000026039	58052910	58082741	overlapStart	-163	135	NearestStart
1	58086767	58087012	246	MACS_peak_148 ENSMUSG00000063558	MACS_peak_148	+	ENSMUSG00000063558	58086813	58163254	overlapStart	-46	46	NearestStart
1	58087354	58087728	375	MACS_peak_149 ENSMUSG00000063558	MACS_peak_149	+	ENSMUSG00000063558	58086813	58163254	inside	541	541	NearestStart
1	58450103	58450508	406	MACS_peak_150 ENSMUSG00000051223	MACS_peak_150	+	ENSMUSG00000051223	58449992	58463392	inside	111	111	NearestStart
1	59432993	59433299	307	MACS_peak_154 ENSMUSG00000041075	MACS_peak_154	+	ENSMUSG00000041075	59539023	59543791	upstream	-106030	105724	NearestStart
1	59538722	59539176	455	MACS_peak_155 ENSMUSG00000041075	MACS_peak_155	+	ENSMUSG00000041075	59539023	59543791	overlapStart	-301	153	NearestStart
1	59572895	59573144	250	MACS_peak_156 ENSMUSG00000047361	MACS_peak_156	+	ENSMUSG00000047361	59573108	59691352	overlapStart	-213	36	NearestStart
1	59820254	59820638	385	MACS_peak_157 ENSMUSG00000067336	MACS_peak_157	+	ENSMUSG00000067336	59821481	59927703	upstream	-1227	843	NearestStart
1	59969295	59970063	769	MACS_peak_158 ENSMUSG00000041040	MACS_peak_158	+	ENSMUSG00000041040	59969850	60042190	overlapStart	-555	213	NearestStart
1	9787856	9788148	293	MACS_peak_16 ENSMUSG00000025915	MACS_peak_16	+	ENSMUSG00000025915	9788234	9889929	upstream	-378	86	NearestStart
1	60236984	60237938	955	MACS_peak_160 ENSMUSG00000041003	MACS_peak_160	+	ENSMUSG00000041003	60238548	60338882	upstream	-1564	610	NearestStart
1	60400204	60400706	503	MACS_peak_161 ENSMUSG00000049439	MACS_peak_161	+	ENSMUSG00000049439	60400167	60444231	inside	37	37	NearestStart
1	60466083	60466736	654	MACS_peak_162 ENSMUSG00000026782	MACS_peak_162	+	ENSMUSG00000026782	60466578	60537999	overlapStart	-495	158	NearestStart
1	61685209	61685514	306	MACS_peak_165 ENSMUSG00000052062	MACS_peak_165	+	ENSMUSG00000052062	61685398	62688858	overlapStart	-189	116	NearestStart
1	62749781	62750371	591	MACS_peak_166 ENSMUSG00000025969	MACS_peak_166	+	ENSMUSG00000025969	62749859	62865269	overlapStart	-78	78	NearestStart
1	62789910	62790142	233	MACS_peak_167 ENSMUSG00000025969	MACS_peak_167	+	ENSMUSG00000025969	62749859	62865269	inside	40051	40051	NearestStart
1	62980898	62981082	185	MACS_peak_168 ENSMUSG00000081617	MACS_peak_168	+	ENSMUSG00000081617	63084788	63085155	upstream	-103890	103706	NearestStart
1	9788166	9788481	316	MACS_peak_17 ENSMUSG00000025915	MACS_peak_17	+	ENSMUSG00000025915	9788234	9889929	overlapStart	-68	68	NearestStart
1	63223544	63223802	259	MACS_peak_170 ENSMUSG00000025967	MACS_peak_170	+	ENSMUSG00000025967	63223739	63226226	overlapStart	-195	63	NearestStart
1	64067268	64067497	230	MACS_peak_171 ENSMUSG00000044689	MACS_peak_171	+	ENSMUSG00000044689	64011301	64015573	downstream	55967	51695	NearestStart
1	64081818	64081968	151	MACS_peak_172 ENSMUSG00000044689	MACS_peak_172	+	ENSMUSG00000044689	64011301	64015573	downstream	70517	66245	NearestStart
1	64236102	64236321	220	MACS_peak_174 ENSMUSG00000083265	MACS_peak_174	+	ENSMUSG00000083265	64196775	64197239	downstream	39327	38863	NearestStart
1	64242606	64242933	328	MACS_peak_175 ENSMUSG00000083265	MACS_peak_175	+	ENSMUSG00000083265	64196775	64197239	downstream	45831	45367	NearestStart
1	64578778	64579147	370	MACS_peak_176 ENSMUSG00000025958	MACS_peak_176	+	ENSMUSG00000025958	64579378	64651121	upstream	-600	231	NearestStart
1	64579456	64579686	231	MACS_peak_177 ENSMUSG00000025958	MACS_peak_177	+	ENSMUSG00000025958	64579378	64651121	inside	78	78	NearestStart
1	64737097	64737358	262	MACS_peak_180 ENSMUSG00000070871	MACS_peak_180	+	ENSMUSG00000070871	64737029	64772218	inside	68	68	NearestStart
1	66514444	66514771	328	MACS_peak_184 ENSMUSG00000055567	MACS_peak_184	+	ENSMUSG00000055567	66514941	66743223	upstream	-497	170	NearestStart
1	66616375	66616612	238	MACS_peak_185 ENSMUSG00000055567	MACS_peak_185	+	ENSMUSG00000055567	66514941	66743223	inside	101434	101434	NearestStart
1	66735999	66736155	157	MACS_peak_186 ENSMUSG00000026005	MACS_peak_186	+	ENSMUSG00000026005	66747405	66766379	upstream	-11406	11250	NearestStart
1	10030158	10030340	183	MACS_peak_19 ENSMUSG00000056763	MACS_peak_19	+	ENSMUSG00000056763	10028299	10126847	inside	1859	1859	NearestStart
1	71699171	71699414	244	MACS_peak_191 ENSMUSG00000073652	MACS_peak_191	+	ENSMUSG00000073652	71699411	71704031	overlapStart	-240	3	NearestStart
1	72272361	72272593	233	MACS_peak_194 ENSMUSG00000075752	MACS_peak_194	+	ENSMUSG00000075752	72272814	72273004	upstream	-453	221	NearestStart
1	72353841	72354133	293	MACS_peak_195 ENSMUSG00000026187	MACS_peak_195	+	ENSMUSG00000026187	72354107	72441526	overlapStart	-266	26	NearestStart
1	72629585	72630058	474	MACS_peak_196 ENSMUSG00000039354	MACS_peak_196	+	ENSMUSG00000039354	72629832	72679704	overlapStart	-247	226	NearestStart
1	72766942	72767402	461	MACS_peak_197 ENSMUSG00000046330	MACS_peak_197	+	ENSMUSG00000046330	72757864	72760246	downstream	9078	6696	NearestStart
1	72786161	72786646	486	MACS_peak_198 ENSMUSG00000046330	MACS_peak_198	+	ENSMUSG00000046330	72757864	72760246	downstream	28297	25915	NearestStart
1	72797916	72798220	305	MACS_peak_199 ENSMUSG00000046330	MACS_peak_199	+	ENSMUSG00000046330	72757864	72760246	downstream	40052	37670	NearestStart
1	4561721	4562278	558	MACS_peak_2 ENSMUSG00000064376	MACS_peak_2	+	ENSMUSG00000064376	4519098	4519204	downstream	42623	42517	NearestStart
1	11404111	11404431	321	MACS_peak_20 ENSMUSG00000057715	MACS_peak_20	+	ENSMUSG00000057715	11404193	11965982	overlapStart	-82	82	NearestStart
1	72870845	72871218	374	MACS_peak_200 ENSMUSG00000039323	MACS_peak_200	+	ENSMUSG00000039323	72871066	72899041	overlapStart	-221	152	NearestStart
1	72872991	72873463	473	MACS_peak_201 ENSMUSG00000039323	MACS_peak_201	+	ENSMUSG00000039323	72871066	72899041	inside	1925	1925	NearestStart
1	72873954	72874291	338	MACS_peak_202 ENSMUSG00000039323	MACS_peak_202	+	ENSMUSG00000039323	72871066	72899041	inside	2888	2888	NearestStart
1	74141057	74141441	385	MACS_peak_212 ENSMUSG00000061815	MACS_peak_212	+	ENSMUSG00000061815	74172115	74194797	upstream	-31058	30674	NearestStart
1	74157957	74158417	461	MACS_peak_213 ENSMUSG00000061815	MACS_peak_213	+	ENSMUSG00000061815	74172115	74194797	upstream	-14158	13698	NearestStart
1	74386931	74387270	340	MACS_peak_217 ENSMUSG00000073650	MACS_peak_217	+	ENSMUSG00000073650	74408682	74415895	upstream	-21751	21412	NearestStart
1	74433347	74433649	303	MACS_peak_218 ENSMUSG00000026176	MACS_peak_218	+	ENSMUSG00000026176	74438173	74443832	upstream	-4826	4524	NearestStart
1	74437862	74438107	246	MACS_peak_219 ENSMUSG00000026176	MACS_peak_219	+	ENSMUSG00000026176	74438173	74443832	upstream	-311	66	NearestStart
1	74443699	74444078	380	MACS_peak_220 ENSMUSG00000065468	MACS_peak_220	+	ENSMUSG00000065468	74440884	74440968	downstream	2815	2731	NearestStart
1	74552335	74552624	290	MACS_peak_221 ENSMUSG00000026174	MACS_peak_221	+	ENSMUSG00000026174	74552632	74577415	upstream	-297	8	NearestStart
1	74553157	74553403	247	MACS_peak_222 ENSMUSG00000026174	MACS_peak_222	+	ENSMUSG00000026174	74552632	74577415	inside	525	525	NearestStart
1	74708182	74708534	353	MACS_peak_225 ENSMUSG00000033257	MACS_peak_225	+	ENSMUSG00000033257	74708328	74744551	overlapStart	-146	146	NearestStart
1	74822157	74822699	543	MACS_peak_226 ENSMUSG00000033227	MACS_peak_226	+	ENSMUSG00000033227	74818466	74831893	inside	3691	3691	NearestStart
1	74844030	74844426	397	MACS_peak_227 ENSMUSG00000026167	MACS_peak_227	+	ENSMUSG00000026167	74838593	74850745	inside	5437	5437	NearestStart
1	74901430	74901693	264	MACS_peak_228 ENSMUSG00000033204	MACS_peak_228	+	ENSMUSG00000033204	74901678	74902781	overlapStart	-248	15	NearestStart
1	75231239	75231443	205	MACS_peak_234 ENSMUSG00000026203	MACS_peak_234	+	ENSMUSG00000026203	75233030	75242265	upstream	-1791	1587	NearestStart
1	75244757	75245030	274	MACS_peak_235 ENSMUSG00000026203	MACS_peak_235	+	ENSMUSG00000026203	75233030	75242265	downstream	11727	2492	NearestStart
1	75396460	75396875	416	MACS_peak_237 ENSMUSG00000026207	MACS_peak_237	+	ENSMUSG00000026207	75371872	75428845	inside	24588	24588	NearestStart
1	75442397	75442622	226	MACS_peak_238 ENSMUSG00000033007	MACS_peak_238	+	ENSMUSG00000033007	75447011	75470915	upstream	-4614	4389	NearestStart
1	75542822	75543253	432	MACS_peak_239 ENSMUSG00000006576	MACS_peak_239	+	ENSMUSG00000006576	75542846	75555658	overlapStart	-24	24	NearestStart
1	75795472	75795629	158	MACS_peak_240 ENSMUSG00000082012	MACS_peak_240	+	ENSMUSG00000082012	75632965	75633754	downstream	162507	161718	NearestStart
1	76035653	76035895	243	MACS_peak_241 ENSMUSG00000082012	MACS_peak_241	+	ENSMUSG00000082012	75632965	75633754	downstream	402688	401899	NearestStart
1	78534122	78534491	370	MACS_peak_243 ENSMUSG00000012187	MACS_peak_243	+	ENSMUSG00000012187	78507744	78534746	inside	26378	255	NearestStart
1	78545694	78545990	297	MACS_peak_244 ENSMUSG00000012187	MACS_peak_244	+	ENSMUSG00000012187	78507744	78534746	downstream	37950	10948	NearestStart
1	78654315	78654600	286	MACS_peak_245 ENSMUSG00000032883	MACS_peak_245	+	ENSMUSG00000032883	78654400	78703562	overlapStart	-85	85	NearestStart
1	78654753	78655158	406	MACS_peak_246 ENSMUSG00000079470	MACS_peak_246	+	ENSMUSG00000079470	78654449	78664176	inside	304	304	NearestStart
1	78848986	78849272	287	MACS_peak_247 ENSMUSG00000047330	MACS_peak_247	+	ENSMUSG00000047330	78813486	78816599	downstream	35500	32387	NearestStart
1	79772532	79772942	411	MACS_peak_249 ENSMUSG00000026248	MACS_peak_249	+	ENSMUSG00000026248	79772708	79778019	overlapStart	-176	176	NearestStart
1	82147477	82147694	218	MACS_peak_257 ENSMUSG00000055952	MACS_peak_257	+	ENSMUSG00000055952	82102138	82102466	downstream	45339	45011	NearestStart
1	82313120	82313622	503	MACS_peak_259 ENSMUSG00000026142	MACS_peak_259	+	ENSMUSG00000026142	82313166	82441932	overlapStart	-46	46	NearestStart
1	15795846	15796262	417	MACS_peak_26 ENSMUSG00000025925	MACS_peak_26	+	ENSMUSG00000025925	15795739	15833509	inside	107	107	NearestStart
1	87791034	87791412	379	MACS_peak_263 ENSMUSG00000026223	MACS_peak_263	+	ENSMUSG00000026223	87791178	87805239	overlapStart	-144	144	NearestStart
1	87798522	87799008	487	MACS_peak_264 ENSMUSG00000026223	MACS_peak_264	+	ENSMUSG00000026223	87791178	87805239	inside	7344	6231	NearestStart
1	87928844	87929374	531	MACS_peak_265 ENSMUSG00000026226	MACS_peak_265	+	ENSMUSG00000026226	87918521	87926533	downstream	10323	2311	NearestStart
1	87942375	87942688	314	MACS_peak_266 ENSMUSG00000026227	MACS_peak_266	+	ENSMUSG00000026227	87942843	87952030	upstream	-468	155	NearestStart
1	87949633	87949908	276	MACS_peak_267 ENSMUSG00000026227	MACS_peak_267	+	ENSMUSG00000026227	87942843	87952030	inside	6790	2122	NearestStart
1	87961179	87961444	266	MACS_peak_268 ENSMUSG00000026229	MACS_peak_268	+	ENSMUSG00000026229	87961194	88035870	overlapStart	-15	15	NearestStart
1	88255237	88255559	323	MACS_peak_269 ENSMUSG00000080225	MACS_peak_269	+	ENSMUSG00000080225	88255651	88255954	upstream	-414	92	NearestStart
1	88268630	88268827	198	MACS_peak_271 ENSMUSG00000073627	MACS_peak_271	+	ENSMUSG00000073627	88256159	88270366	inside	12471	1539	NearestStart
1	88330866	88331568	703	MACS_peak_272 ENSMUSG00000036574	MACS_peak_272	+	ENSMUSG00000036574	88322917	88324624	downstream	7949	6242	NearestStart
1	88383826	88384529	704	MACS_peak_273 ENSMUSG00000067125	MACS_peak_273	+	ENSMUSG00000067125	88370234	88370581	downstream	13592	13245	NearestStart
1	88400510	88401213	704	MACS_peak_274 ENSMUSG00000026238	MACS_peak_274	+	ENSMUSG00000026238	88423311	88427273	upstream	-22801	22098	NearestStart
1	88402131	88402519	389	MACS_peak_275 ENSMUSG00000026238	MACS_peak_275	+	ENSMUSG00000026238	88423311	88427273	upstream	-21180	20792	NearestStart
1	88405939	88406342	404	MACS_peak_276 ENSMUSG00000026238	MACS_peak_276	+	ENSMUSG00000026238	88423311	88427273	upstream	-17372	16969	NearestStart
1	88407570	88407990	421	MACS_peak_277 ENSMUSG00000026238	MACS_peak_277	+	ENSMUSG00000026238	88423311	88427273	upstream	-15741	15321	NearestStart
1	88421516	88422166	651	MACS_peak_278 ENSMUSG00000026238	MACS_peak_278	+	ENSMUSG00000026238	88423311	88427273	upstream	-1795	1145	NearestStart
1	88422650	88423403	754	MACS_peak_279 ENSMUSG00000026238	MACS_peak_279	+	ENSMUSG00000026238	88423311	88427273	overlapStart	-661	92	NearestStart
1	16095692	16096029	338	MACS_peak_28 ENSMUSG00000025921	MACS_peak_28	+	ENSMUSG00000025921	16095963	16122630	overlapStart	-271	66	NearestStart
1	88424883	88425140	258	MACS_peak_280 ENSMUSG00000026238	MACS_peak_280	+	ENSMUSG00000026238	88423311	88427273	inside	1572	1572	NearestStart
1	88483509	88483891	383	MACS_peak_281 ENSMUSG00000026240	MACS_peak_281	+	ENSMUSG00000026240	88479479	88503075	inside	4030	4030	NearestStart
1	88600136	88600514	379	MACS_peak_284 ENSMUSG00000053333	MACS_peak_284	+	ENSMUSG00000053333	88600418	88946665	overlapStart	-282	96	NearestStart
1	89110327	89110693	367	MACS_peak_285 ENSMUSG00000026254	MACS_peak_285	+	ENSMUSG00000026254	89110489	89137063	overlapStart	-162	162	NearestStart
1	89160650	89161061	412	MACS_peak_286 ENSMUSG00000026255	MACS_peak_286	+	ENSMUSG00000026255	89160938	89207413	overlapStart	-288	123	NearestStart
1	89504311	89504641	331	MACS_peak_287 ENSMUSG00000026288	MACS_peak_287	+	ENSMUSG00000026288	89516951	89617075	upstream	-12640	12310	NearestStart
1	89652372	89652849	478	MACS_peak_288 ENSMUSG00000026289	MACS_peak_288	+	ENSMUSG00000026289	89652646	89688997	overlapStart	-274	203	NearestStart
1	89682416	89682715	300	MACS_peak_289 ENSMUSG00000077429	MACS_peak_289	+	ENSMUSG00000077429	89681131	89681395	downstream	1285	1021	NearestStart
1	89682919	89683105	187	MACS_peak_290 ENSMUSG00000077429	MACS_peak_290	+	ENSMUSG00000077429	89681131	89681395	downstream	1788	1524	NearestStart
1	90820742	90821160	419	MACS_peak_298 ENSMUSG00000036206	MACS_peak_298	+	ENSMUSG00000036206	90966990	91050367	upstream	-146248	145830	NearestStart
1	90834021	90834230	210	MACS_peak_299 ENSMUSG00000036206	MACS_peak_299	+	ENSMUSG00000036206	90966990	91050367	upstream	-132969	132760	NearestStart
1	4797742	4798237	496	MACS_peak_3 ENSMUSG00000025903	MACS_peak_3	+	ENSMUSG00000025903	4797943	4836817	overlapStart	-201	201	NearestStart
1	90966626	90967222	597	MACS_peak_300 ENSMUSG00000036206	MACS_peak_300	+	ENSMUSG00000036206	90966990	91050367	overlapStart	-364	232	NearestStart
1	91032627	91033026	400	MACS_peak_301 ENSMUSG00000036206	MACS_peak_301	+	ENSMUSG00000036206	90966990	91050367	inside	65637	17341	NearestStart
1	91033610	91034047	438	MACS_peak_302 ENSMUSG00000036206	MACS_peak_302	+	ENSMUSG00000036206	90966990	91050367	inside	66620	16320	NearestStart
1	91297166	91297729	564	MACS_peak_303 ENSMUSG00000055013	MACS_peak_303	+	ENSMUSG00000055013	91351381	91791852	upstream	-54215	53652	NearestStart
1	91351043	91351334	292	MACS_peak_304 ENSMUSG00000055013	MACS_peak_304	+	ENSMUSG00000055013	91351381	91791852	upstream	-338	47	NearestStart
1	91473569	91473895	327	MACS_peak_305 ENSMUSG00000055013	MACS_peak_305	+	ENSMUSG00000055013	91351381	91791852	inside	122188	122188	NearestStart
1	92499825	92500241	417	MACS_peak_307 ENSMUSG00000034432	MACS_peak_307	+	ENSMUSG00000034432	92500074	92509699	overlapStart	-249	167	NearestStart
1	92895131	92895435	305	MACS_peak_313 ENSMUSG00000026305	MACS_peak_313	+	ENSMUSG00000026305	92895381	93025485	overlapStart	-250	54	NearestStart
1	92952278	92952594	317	MACS_peak_314 ENSMUSG00000026305	MACS_peak_314	+	ENSMUSG00000026305	92895381	93025485	inside	56897	56897	NearestStart
1	92995438	92995751	314	MACS_peak_315 ENSMUSG00000070732	MACS_peak_315	+	ENSMUSG00000070732	93041680	93067372	upstream	-46242	45929	NearestStart
1	93075629	93075966	338	MACS_peak_316 ENSMUSG00000034353	MACS_peak_316	+	ENSMUSG00000034353	93076399	93120255	upstream	-770	433	NearestStart
1	93105829	93106800	972	MACS_peak_317 ENSMUSG00000078287	MACS_peak_317	+	ENSMUSG00000078287	93121623	93121688	upstream	-15794	14823	NearestStart
1	93146585	93146894	310	MACS_peak_318 ENSMUSG00000078287	MACS_peak_318	+	ENSMUSG00000078287	93121623	93121688	downstream	24962	24897	NearestStart
1	16655143	16655466	324	MACS_peak_32 ENSMUSG00000025940	MACS_peak_32	+	ENSMUSG00000025940	16655272	16668356	overlapStart	-129	129	NearestStart
1	93422496	93422774	279	MACS_peak_322 ENSMUSG00000026311	MACS_peak_322	+	ENSMUSG00000026311	93437121	93456167	upstream	-14625	14347	NearestStart
1	93436883	93437541	659	MACS_peak_323 ENSMUSG00000026311	MACS_peak_323	+	ENSMUSG00000026311	93437121	93456167	overlapStart	-238	238	NearestStart
1	93497202	93497581	380	MACS_peak_324 ENSMUSG00000026311	MACS_peak_324	+	ENSMUSG00000026311	93437121	93456167	downstream	60081	41035	NearestStart
1	93747886	93748277	392	MACS_peak_325 ENSMUSG00000007805	MACS_peak_325	+	ENSMUSG00000007805	93698038	93744605	downstream	49848	3281	NearestStart
1	94683704	94684104	401	MACS_peak_333 ENSMUSG00000034220	MACS_peak_333	+	ENSMUSG00000034220	94728222	94756775	upstream	-44518	44118	NearestStart
1	94728220	94728567	348	MACS_peak_334 ENSMUSG00000034220	MACS_peak_334	+	ENSMUSG00000034220	94728222	94756775	overlapStart	-2	2	NearestStart
1	94729264	94729545	282	MACS_peak_335 ENSMUSG00000034220	MACS_peak_335	+	ENSMUSG00000034220	94728222	94756775	inside	1042	1042	NearestStart
1	94734568	94734990	423	MACS_peak_336 ENSMUSG00000034220	MACS_peak_336	+	ENSMUSG00000034220	94728222	94756775	inside	6346	6346	NearestStart
1	94807133	94807442	310	MACS_peak_337 ENSMUSG00000026269	MACS_peak_337	+	ENSMUSG00000026269	94807982	94817156	upstream	-849	540	NearestStart
1	94830699	94831208	510	MACS_peak_338 ENSMUSG00000026270	MACS_peak_338	+	ENSMUSG00000026270	94830953	94844517	overlapStart	-254	254	NearestStart
1	20941555	20942013	459	MACS_peak_34 ENSMUSG00000041809	MACS_peak_34	+	ENSMUSG00000041809	20941769	20980920	overlapStart	-214	214	NearestStart
1	95106866	95107288	423	MACS_peak_341 ENSMUSG00000047793	MACS_peak_341	+	ENSMUSG00000047793	95132418	95197640	upstream	-25552	25130	NearestStart
1	95132181	95132653	473	MACS_peak_342 ENSMUSG00000047793	MACS_peak_342	+	ENSMUSG00000047793	95132418	95197640	overlapStart	-237	235	NearestStart
1	95240016	95240265	250	MACS_peak_345 ENSMUSG00000026275	MACS_peak_345	+	ENSMUSG00000026275	95240221	95261851	overlapStart	-205	44	NearestStart
1	95374660	95375213	554	MACS_peak_347 ENSMUSG00000026276	MACS_peak_347	+	ENSMUSG00000026276	95375621	95406307	upstream	-961	408	NearestStart
1	95408383	95408981	599	MACS_peak_348 ENSMUSG00000034066	MACS_peak_348	+	ENSMUSG00000034066	95375818	95518553	inside	32565	32565	NearestStart
1	95581985	95582503	519	MACS_peak_350 ENSMUSG00000026278	MACS_peak_350	+	ENSMUSG00000026278	95582333	95592339	overlapStart	-348	170	NearestStart
1	95651436	95651677	242	MACS_peak_352 ENSMUSG00000026280	MACS_peak_352	+	ENSMUSG00000026280	95651600	95684756	overlapStart	-164	77	NearestStart
1	95700270	95700583	314	MACS_peak_354 ENSMUSG00000026283	MACS_peak_354	+	ENSMUSG00000026283	95700542	95718678	overlapStart	-272	41	NearestStart
1	99666607	99666853	247	MACS_peak_357 ENSMUSG00000026333	MACS_peak_357	+	ENSMUSG00000026333	99666745	99690286	overlapStart	-138	108	NearestStart
1	99873521	99873819	299	MACS_peak_358 ENSMUSG00000065921	MACS_peak_358	+	ENSMUSG00000065921	99946399	99946505	upstream	-72878	72580	NearestStart
1	106643395	106643759	365	MACS_peak_359 ENSMUSG00000080661	MACS_peak_359	+	ENSMUSG00000080661	106641247	106641336	downstream	2148	2059	NearestStart
1	107560184	107560521	338	MACS_peak_360 ENSMUSG00000026319	MACS_peak_360	+	ENSMUSG00000026319	107560490	107650652	overlapStart	-306	31	NearestStart
1	107886696	107887359	664	MACS_peak_361 ENSMUSG00000038866	MACS_peak_361	+	ENSMUSG00000038866	107886983	107930651	overlapStart	-287	287	NearestStart
1	107890334	107890673	340	MACS_peak_362 ENSMUSG00000038866	MACS_peak_362	+	ENSMUSG00000038866	107886983	107930651	inside	3351	3351	NearestStart
1	108051914	108052159	246	MACS_peak_363 ENSMUSG00000044340	MACS_peak_363	+	ENSMUSG00000044340	108068581	108290821	upstream	-16667	16422	NearestStart
1	108067966	108068432	467	MACS_peak_364 ENSMUSG00000044340	MACS_peak_364	+	ENSMUSG00000044340	108068581	108290821	upstream	-615	149	NearestStart
1	108098638	108098884	247	MACS_peak_365 ENSMUSG00000044340	MACS_peak_365	+	ENSMUSG00000044340	108068581	108290821	inside	30057	30057	NearestStart
1	109847122	109847260	139	MACS_peak_368 ENSMUSG00000077237	MACS_peak_368	+	ENSMUSG00000077237	109789551	109789682	downstream	57571	57440	NearestStart
1	120218315	120218621	307	MACS_peak_370 ENSMUSG00000026377	MACS_peak_370	+	ENSMUSG00000026377	120218449	120230166	overlapStart	-134	134	NearestStart
1	120285262	120285658	397	MACS_peak_371 ENSMUSG00000064302	MACS_peak_371	+	ENSMUSG00000064302	120285635	120506009	overlapStart	-373	23	NearestStart
1	120286393	120286722	330	MACS_peak_372 ENSMUSG00000064302	MACS_peak_372	+	ENSMUSG00000064302	120285635	120506009	inside	758	758	NearestStart
1	23769774	23770064	291	MACS_peak_38 ENSMUSG00000026156	MACS_peak_38	+	ENSMUSG00000026156	23768857	23855432	inside	917	917	NearestStart
1	121430026	121430400	375	MACS_peak_385 ENSMUSG00000084505	MACS_peak_385	+	ENSMUSG00000084505	121426792	121426891	downstream	3234	3135	NearestStart
1	122254018	122254172	155	MACS_peak_390 ENSMUSG00000036907	MACS_peak_390	+	ENSMUSG00000036907	122237152	122239748	downstream	16866	14270	NearestStart
